,loss,reconstruction_loss,lr
187,9034.1484375,9034.1484375,0.00020000001
188,9034.0908203125,9034.0908203125,0.00020000001
189,9033.9970703125,9033.9970703125,0.00020000001
190,9033.8701171875,9033.8701171875,0.00020000001
191,9033.7255859375,9033.7255859375,0.00020000001
192,9033.58984375,9033.58984375,0.00020000001
193,9033.4931640625,9033.4931640625,0.00020000001
194,9033.4775390625,9033.4775390625,0.00020000001
195,9033.6572265625,9033.6572265625,0.00020000001
196,9034.208984375,9034.208984375,0.00020000001
197,9035.388671875,9035.388671875,0.00020000001
198,9037.0556640625,9037.0556640625,0.00020000001
199,9037.169921875,9037.169921875,0.00020000001
200,9035.5712890625,9035.5712890625,0.00020000001
201,9035.744140625,9035.744140625,0.00020000001
202,9035.0205078125,9035.0205078125,0.00020000001
203,9034.177734375,9034.177734375,0.00020000001
204,9034.046875,9034.046875,0.00020000001
205,9033.861328125,9033.861328125,0.00020000001
206,9033.8837890625,9033.8837890625,0.00020000001
207,9033.904296875,9033.904296875,0.00020000001
208,9033.9423828125,9033.9423828125,0.00020000001
209,9034.041015625,9034.041015625,0.00020000001
210,9034.146484375,9034.146484375,0.00020000001
211,9034.2763671875,9034.2763671875,0.00020000001
212,9034.4189453125,9034.4189453125,0.00020000001
213,9034.56640625,9034.56640625,0.00020000001
214,9034.734375,9034.734375,0.00020000001
215,9034.93359375,9034.93359375,0.00020000001
216,9035.12890625,9035.12890625,0.00020000001
217,9035.3623046875,9035.3623046875,0.00020000001
218,9035.541015625,9035.541015625,0.00020000001
219,9035.5302734375,9035.5302734375,0.00020000001
220,9035.6650390625,9035.6650390625,0.00020000001
221,9035.7568359375,9035.7568359375,0.00020000001
222,9035.935546875,9035.935546875,0.00020000001
223,9036.2314453125,9036.2314453125,0.00020000001
224,9036.814453125,9036.814453125,0.00020000001
225,9037.7900390625,9037.7900390625,0.00020000001
226,9039.6923828125,9039.6923828125,0.00020000001
227,9064.3134765625,9064.3134765625,4.0000003e-05
228,9046.0712890625,9046.0712890625,4.0000003e-05
229,9041.9091796875,9041.9091796875,4.0000003e-05
230,9040.0615234375,9040.0615234375,4.0000003e-05
231,9039.015625,9039.015625,4.0000003e-05
232,9038.1650390625,9038.1650390625,4.0000003e-05
233,9037.5087890625,9037.5087890625,4.0000003e-05
234,9036.9697265625,9036.9697265625,4.0000003e-05
235,9036.51953125,9036.51953125,4.0000003e-05
236,9036.130859375,9036.130859375,4.0000003e-05
237,9035.7939453125,9035.7939453125,4.0000003e-05
238,9035.4951171875,9035.4951171875,4.0000003e-05
239,9035.2265625,9035.2265625,4.0000003e-05
240,9034.9892578125,9034.9892578125,4.0000003e-05
241,9034.7734375,9034.7734375,4.0000003e-05
242,9034.5771484375,9034.5771484375,4.0000003e-05
243,9034.396484375,9034.396484375,4.0000003e-05
244,9034.232421875,9034.232421875,4.0000003e-05
245,9034.0771484375,9034.0771484375,4.0000003e-05
246,9033.9345703125,9033.9345703125,4.0000003e-05
247,9033.8017578125,9033.8017578125,4.0000003e-05
248,9033.677734375,9033.677734375,4.0000003e-05
249,9033.5595703125,9033.5595703125,4.0000003e-05
